Alpha Values,K Values,Mean Test Scores
0.0,45,-3.65471587599
0.0,46,-3.64906272417
0.0,47,-3.63892759204
0.0,48,-3.63920470583
0.1,45,-3.64342729832
0.1,46,-3.64477695568
0.1,47,-3.63686090889
0.1,48,-3.63130311616
0.2,45,-3.65670296372
0.2,46,-3.64144450577
0.2,47,-3.63041104554
0.2,48,-3.62897372751
0.3,45,-3.63332489604
0.3,46,-3.62709134624
0.3,47,-3.6326436913
0.3,48,-3.62896569756
0.4,45,-3.63870371686
0.4,46,-3.64556843228
0.4,47,-3.62734901855
0.4,48,-3.63013863408
0.5,45,-3.63451789901
0.5,46,-3.63839822613
0.5,47,-3.62974297776
0.5,48,-3.62992150313
0.6,45,-3.64072451083
0.6,46,-3.63959992859
0.6,47,-3.63029464645
0.6,48,-3.62469417024
0.7,45,-3.62891837164
0.7,46,-3.63429935502
0.7,47,-3.63391152041
0.7,48,-3.62773101156
0.8,45,-3.64581719332
0.8,46,-3.64216283804
0.8,47,-3.64437078239
0.8,48,-3.62769084556
0.9,45,-3.63160267914
0.9,46,-3.62927564355
0.9,47,-3.63046403902
0.9,48,-3.62735245087
